claim_id,manuscript_section,claim,reported_value,source_file,source_filter_or_row,verification,interpretation_boundary
R3.5b,Results 3.5,Focused prespecified genes showed a similar but imprecise correlation,n=43; rho=0.243; bootstrap 95% CI -0.091 to 0.527; same direction 60.5%,results/cross_species_concordance_summary.csv,gene_set=All_prespecified_state_genes,Verified against frozen table,The bootstrap interval is wide because the focused set is small
R3.5c,Results 3.5,Strict reciprocal one to one orthology did not materially change the overall result,"n=7,705; rho=0.187; 95% CI 0.165 to 0.208; same direction 57.7%",results/strict_orthology_sensitivity_summary.csv,HCOP reciprocal 1 to 1; all shared genes,Verified against frozen table,Orthology filtering is a sensitivity analysis
R3.5d,Results 3.5,The strict focused estimate was higher but imprecise,n=29; rho=0.369; bootstrap 95% CI -0.031 to 0.693,results/strict_orthology_sensitivity_summary.csv,HCOP reciprocal 1 to 1; prespecified focused genes,Verified against frozen table,The estimate is based on 29 genes
R3.6t17,Results 3.6,Three group VEGF A transcriptional comparison for BBB_specialization,acute minus CFA -0.674; bevacizumab minus acute -0.223; residual versus CFA -0.897; treatment FDR 0.711,results/VEGFA_three_arm_transcriptional_perturbation.csv,module=BBB_specialization,Verified against frozen table,Transcript changes do not measure BBB permeability
R3.6t18,Results 3.6,Three group VEGF A transcriptional comparison for Structural_ECM_remodeling,acute minus CFA 0.290; bevacizumab minus acute 0.433; residual versus CFA 0.723; treatment FDR 0.600,results/VEGFA_three_arm_transcriptional_perturbation.csv,module=Structural_ECM_remodeling,Verified against frozen table,Transcript changes do not measure BBB permeability
R3.6t19,Results 3.6,Three group VEGF A transcriptional comparison for ROS_Src,acute minus CFA 1.263; bevacizumab minus acute -0.475; residual versus CFA 0.788; treatment FDR 0.600,results/VEGFA_three_arm_transcriptional_perturbation.csv,module=ROS_Src,Verified against frozen table,Transcript changes do not measure BBB permeability
R3.6t20,Results 3.6,Three group VEGF A transcriptional comparison for ECM_protease,acute minus CFA 0.763; bevacizumab minus acute -0.614; residual versus CFA 0.149; treatment FDR 0.600,results/VEGFA_three_arm_transcriptional_perturbation.csv,module=ECM_protease,Verified against frozen table,Transcript changes do not measure BBB permeability
R3.6v,Results 3.6,Venous endothelial source effects were nominal and none survived correction,minimum within subtype FDR=0.121,results/VEGFA_venous_source_effects.csv,subtype=Venous,Verified against frozen table,The deposited label is bevacizumab. These transcript samples are not paired with the r84 experiment
R3.6f1,Results 3.6,Published r84 experiment result for Venous endothelial proliferation,IgG mean 32.86; r84 mean 3.81; Hedges g -1.19; 95% CI -2.21 to -0.18; exact P=0.0031; FDR=0.0039,results/published_source_barrier_and_vascular_summary.csv,endpoint=Venous endothelial proliferation,Verified against frozen table,"Different animals, disease stage and antibody from the transcript analysis"
R3.6f2,Results 3.6,Published r84 experiment result for IgG leakage,IgG mean 2.22; r84 mean 1.44; Hedges g -0.43; 95% CI -1.37 to 0.50; exact P=0.3734; FDR=0.7468,results/published_source_barrier_and_vascular_summary.csv,endpoint=IgG leakage,Verified against frozen table,"Different animals, disease stage and antibody from the transcript analysis"
R3.6f3,Results 3.6,Published r84 experiment result for Fibrinogen leakage,IgG mean 6.70; r84 mean 6.90; Hedges g 0.06; 95% CI -0.87 to 0.98; exact P=0.9139; FDR=0.9139,results/published_source_barrier_and_vascular_summary.csv,endpoint=Fibrinogen leakage,Verified against frozen table,"Different animals, disease stage and antibody from the transcript analysis"
R3.6teer,Results 3.6,Published endothelial resistance results were summarized at well level,"acute drop, Ctrl: -8.79, acute drop, VEGFa + IgG: -23.98, acute drop, VEGFa + r84: -20.12, chronic drop, Ctrl: -15.98, chronic drop, VEGFa + IgG: -27.71, chronic drop, VEGFa + r84: -21.47",results/published_mBEC_TEER_descriptive_summary.csv,all rows,Verified against frozen table,"Independent experiment identifiers were unavailable, so no experiment level inference was made"
